id,name,email,password,salon_name,area_id,salon_address,created_at,updated_at
0,name,email,password,salon_name,0,salon_address,,
1,test,test@gmail.com,foobar,salontest,1,testaddress,,
2,kurita,kurita@gmail.com,,,,,,
3,kurita,kurita@gmail.com,,,,,,
4,nozawa,nozawa@gmail.com,,,,,,
5,a,a@a,,,,,,
6,a,a,,,,,,
7,id,name,email,password,0,area_id,,
8,1,test,test@gmail.com,foobar,0,1,,
9,id,name,email,password,0,area_id,,
10,1,test,test@gmail.com,foobar,0,1,,
11,name,email,password,salon_name,0,salon_address,,
12,test,test@gmail.com,foobar,salontest,1,testaddress,,
